model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
unfreeze4,evalgen_sidreals,clean,12000,10000,2000,0.9627,0.9888,0.9930,0.7815,0.0011,0.1309,0.5000
unfreeze2,evalgen_sidreals,clean,12000,10000,2000,0.9718,0.9911,0.9871,0.8420,0.0022,0.1424,0.5000
clipl14_sid,evalgen_sidreals,clean,12000,10000,2000,0.9792,0.9950,0.9787,0.8945,0.0039,0.1526,0.5000
clipb16_sid,evalgen_sidreals,clean,12000,10000,2000,0.9745,0.9913,0.9425,0.9020,0.0110,0.1626,0.5000
