model,split,condition,n,n_real,n_fake,acc,auroc,precision_fake,recall_fake,fpr,mean_pred,threshold
exp1b_unfreeze4,official_val,jpeg_q90,500,250,250,0.8700,0.9890,0.9843,0.7520,0.0120,0.3750,0.5000
exp1b_unfreeze4,official_val,jpeg_q70,500,250,250,0.8480,0.9880,0.9888,0.7040,0.0080,0.3526,0.5000
exp1b_unfreeze4,official_val,jpeg_q50,500,250,250,0.8680,0.9867,0.9792,0.7520,0.0160,0.3850,0.5000
exp1b_unfreeze4,official_val,jpeg_q30,500,250,250,0.8700,0.9852,0.9843,0.7520,0.0120,0.3794,0.5000
exp1b_unfreeze4,official_val,blur_s05,500,250,250,0.8580,0.9917,0.9838,0.7280,0.0120,0.3632,0.5000
exp1b_unfreeze4,official_val,blur_s10,500,250,250,0.8560,0.9934,0.9944,0.7160,0.0040,0.3481,0.5000
exp1b_unfreeze4,official_val,blur_s20,500,250,250,0.8100,0.9888,0.9936,0.6240,0.0040,0.3142,0.5000
exp1b_unfreeze4,official_val,resize_s05,500,250,250,0.8240,0.9920,0.9880,0.6560,0.0080,0.3369,0.5000
exp1b_unfreeze4,official_val,resize_s025,500,250,250,0.8040,0.9863,0.9872,0.6160,0.0080,0.3118,0.5000
exp1b_unfreeze4,official_val,noise_s002,500,250,250,0.8560,0.9907,0.9890,0.7200,0.0080,0.3548,0.5000
exp1b_unfreeze4,official_val,noise_s005,500,250,250,0.8400,0.9864,0.9830,0.6920,0.0120,0.3545,0.5000
exp1b_unfreeze4,official_val,noise_s010,500,250,250,0.8220,0.9855,0.9879,0.6520,0.0080,0.3228,0.5000
exp1b_unfreeze4,official_val,jitter_p20,500,250,250,0.8420,0.9902,0.9942,0.6880,0.0040,0.3400,0.5000
exp1b_unfreeze4,official_val,crop_p80,500,250,250,0.7720,0.9891,1.0000,0.5440,0.0000,0.2764,0.5000
exp2_consistency,official_val,clean,500,250,250,0.8900,0.9667,0.9756,0.8000,0.0200,0.3893,0.5000
exp2_consistency,official_val,jpeg_q90,500,250,250,0.8920,0.9657,0.9804,0.8000,0.0160,0.3905,0.5000
exp2_consistency,official_val,jpeg_q70,500,250,250,0.8860,0.9666,0.9801,0.7880,0.0160,0.3861,0.5000
exp2_consistency,official_val,jpeg_q50,500,250,250,0.8860,0.9658,0.9754,0.7920,0.0200,0.3868,0.5000
exp2_consistency,official_val,jpeg_q30,500,250,250,0.8800,0.9643,0.9798,0.7760,0.0160,0.3842,0.5000
exp2_consistency,official_val,blur_s05,500,250,250,0.8920,0.9679,0.9851,0.7960,0.0120,0.3856,0.5000
exp2_consistency,official_val,blur_s10,500,250,250,0.8860,0.9694,0.9801,0.7880,0.0160,0.3819,0.5000
exp2_consistency,official_val,blur_s20,500,250,250,0.8780,0.9700,0.9749,0.7760,0.0200,0.3816,0.5000
exp2_consistency,official_val,resize_s05,500,250,250,0.8860,0.9687,0.9801,0.7880,0.0160,0.3826,0.5000
exp2_consistency,official_val,resize_s025,500,250,250,0.8780,0.9701,0.9797,0.7720,0.0160,0.3791,0.5000
exp2_consistency,official_val,noise_s002,500,250,250,0.9020,0.9668,0.9809,0.8200,0.0160,0.4006,0.5000
exp2_consistency,official_val,noise_s005,500,250,250,0.9060,0.9732,0.9856,0.8240,0.0120,0.3965,0.5000
exp2_consistency,official_val,noise_s010,500,250,250,0.8840,0.9743,0.9848,0.7800,0.0120,0.3738,0.5000
exp2_consistency,official_val,jitter_p20,500,250,250,0.8820,0.9652,0.9751,0.7840,0.0200,0.3829,0.5000
exp2_consistency,official_val,crop_p80,500,250,250,0.8420,0.9564,0.9622,0.7120,0.0280,0.3650,0.5000
exp3_dualbranch,official_val,clean,500,250,250,0.8880,0.9702,0.9850,0.7880,0.0120,0.3952,0.5000
exp3_dualbranch,official_val,jpeg_q90,500,250,250,0.8880,0.9718,0.9850,0.7880,0.0120,0.3964,0.5000
exp3_dualbranch,official_val,jpeg_q70,500,250,250,0.8840,0.9720,0.9848,0.7800,0.0120,0.3856,0.5000
exp3_dualbranch,official_val,jpeg_q50,500,250,250,0.8820,0.9715,0.9848,0.7760,0.0120,0.3876,0.5000
exp3_dualbranch,official_val,jpeg_q30,500,250,250,0.8700,0.9661,0.9843,0.7520,0.0120,0.3701,0.5000
